0, run: 824, walk: 819, stand: null
1, run: 824, walk: 819, stand: null
2, run: 824, walk: 819, stand: null
3, run: 824, walk: 819, stand: null
4, run: 824, walk: 819, stand: null
5, run: 824, walk: 819, stand: null
6, run: 824, walk: 819, stand: null
7, run: 824, walk: 819, stand: null
8, run: 824, walk: 819, stand: null
9, run: 824, walk: 819, stand: null
10, run: -1, walk: 7165, stand: null
11, run: 824, walk: 819, stand: null
12, run: 824, walk: 819, stand: null
13, run: 824, walk: 819, stand: null
14, run: -1, walk: 32767, stand: null
15, run: 824, walk: 819, stand: null
16, run: 824, walk: 819, stand: null
17, run: -1, walk: 7165, stand: null
18, run: 824, walk: 819, stand: null
19, run: -1, walk: 1059, stand: null
20, run: -1, walk: 1065, stand: null
21, run: -1, walk: 1065, stand: null
22, run: 15018, walk: 15017, stand: [15016]
23, run: -1, walk: 1065, stand: null
24, run: 824, walk: 819, stand: null
25, run: 824, walk: 819, stand: null
26, run: -1, walk: 819, stand: null
27, run: 824, walk: 819, stand: null
28, run: 824, walk: 819, stand: null
29, run: -1, walk: 11796, stand: null
30, run: -1, walk: 11796, stand: null
31, run: 824, walk: 819, stand: null
32, run: 824, walk: 819, stand: null
33, run: 824, walk: 819, stand: null
34, run: 824, walk: 819, stand: null
35, run: 824, walk: 819, stand: null
36, run: 824, walk: 819, stand: null
37, run: -1, walk: 819, stand: null
38, run: 824, walk: 819, stand: null
39, run: 824, walk: 819, stand: null
40, run: -1, walk: 10, stand: null
41, run: -1, walk: 32767, stand: [3824, 3817]
42, run: -1, walk: 5340, stand: null
43, run: -1, walk: 5334, stand: null
44, run: -1, walk: 23789, stand: null
45, run: -1, walk: 23789, stand: null
46, run: 6817, walk: 6817, stand: null
47, run: -1, walk: 2703, stand: null
48, run: -1, walk: 5385, stand: null
49, run: -1, walk: 17350, stand: null
50, run: -1, walk: 17778, stand: [17776, 17777]
51, run: -1, walk: 13157, stand: null
52, run: -1, walk: 14268, stand: null
53, run: -1, walk: 12246, stand: null
54, run: -1, walk: 12246, stand: null
55, run: -1, walk: 12246, stand: null
56, run: 21337, walk: 21346, stand: null
57, run: -1, walk: 13847, stand: null
58, run: 905, walk: 5325, stand: null
59, run: 905, walk: 5325, stand: null
60, run: 905, walk: 5325, stand: null
61, run: -1, walk: 6248, stand: null
62, run: 905, walk: 5325, stand: null
63, run: 905, walk: 5325, stand: null
64, run: 905, walk: 5325, stand: null
65, run: 21337, walk: 21346, stand: null
66, run: 15263, walk: 189, stand: [195, 16369]
67, run: 15263, walk: 189, stand: [195, 16369]
68, run: 15263, walk: 189, stand: [195, 16369]
69, run: 21337, walk: 21346, stand: null
70, run: -1, walk: 10899, stand: null
71, run: 21337, walk: 21346, stand: null
72, run: -1, walk: 10812, stand: null
73, run: -1, walk: 5566, stand: null
74, run: -1, walk: 5577, stand: null
75, run: -1, walk: 5570, stand: null
76, run: -1, walk: 5570, stand: null
77, run: -1, walk: 5566, stand: null
78, run: 23636, walk: 23635, stand: null
79, run: 23636, walk: 23635, stand: null
80, run: -1, walk: 9670, stand: [9669, 309]
81, run: -1, walk: 23573, stand: null
82, run: -1, walk: 19620, stand: null
83, run: -1, walk: 17467, stand: null
84, run: -1, walk: 17457, stand: null
85, run: 21337, walk: 21346, stand: null
86, run: 3369, walk: 14862, stand: [14857, 14858]
87, run: 3369, walk: 14862, stand: [14857, 14858]
88, run: 3369, walk: 14862, stand: [14857, 14858]
89, run: -1, walk: 6373, stand: null
90, run: -1, walk: 5481, stand: null
91, run: -1, walk: 5481, stand: null
92, run: -1, walk: 5481, stand: null
93, run: -1, walk: 5497, stand: null
94, run: -1, walk: 5479, stand: null
95, run: -1, walk: 23576, stand: [23577, 23583]
96, run: -1, walk: 23576, stand: [23577, 23583]
97, run: -1, walk: 23576, stand: [23577, 23583]
98, run: -1, walk: 6583, stand: null
99, run: -1, walk: 6560, stand: null
100, run: 824, walk: 819, stand: null
101, run: -1, walk: 2369, stand: null
102, run: -1, walk: 2369, stand: null
103, run: -1, walk: 5539, stand: null
104, run: -1, walk: 5531, stand: null
105, run: 1478, walk: 17289, stand: null
106, run: 1478, walk: 17289, stand: null
107, run: 24020, walk: 23632, stand: null
108, run: 24020, walk: 23632, stand: null
109, run: 24024, walk: 24024, stand: null
110, run: -1, walk: 4660, stand: null
111, run: -1, walk: 4669, stand: null
112, run: -1, walk: 4654, stand: null
113, run: -1, walk: 17510, stand: null
114, run: -1, walk: 10625, stand: null
115, run: -1, walk: 10625, stand: null
116, run: -1, walk: 4649, stand: null
117, run: -1, walk: 4649, stand: null
118, run: 21337, walk: 21346, stand: null
119, run: 21337, walk: 21346, stand: null
120, run: 21337, walk: 21346, stand: null
121, run: 21337, walk: 21346, stand: null
122, run: -1, walk: 2369, stand: null
123, run: -1, walk: 2369, stand: null
124, run: -1, walk: 23837, stand: null
125, run: -1, walk: 841, stand: null
126, run: -1, walk: 14093, stand: null
127, run: -1, walk: 23843, stand: null
128, run: -1, walk: 274, stand: null
129, run: 21337, walk: 21346, stand: null
130, run: 21337, walk: 21346, stand: null
131, run: -1, walk: 5666, stand: null
132, run: 1419, walk: 219, stand: null
133, run: -1, walk: 6373, stand: null
134, run: 905, walk: 5325, stand: null
135, run: 824, walk: 819, stand: null
136, run: -1, walk: 6799, stand: null
137, run: -1, walk: 6799, stand: null
138, run: -1, walk: 1007, stand: null
139, run: -1, walk: 1007, stand: null
140, run: -1, walk: 336, stand: null
141, run: -1, walk: 6556, stand: null
142, run: -1, walk: 6556, stand: null
143, run: -1, walk: 6556, stand: null
144, run: 24020, walk: 23632, stand: null
145, run: -1, walk: 841, stand: null
146, run: -1, walk: 6773, stand: null
147, run: -1, walk: 32767, stand: null
148, run: -1, walk: 6774, stand: null
149, run: -1, walk: 6773, stand: null
150, run: -1, walk: 6773, stand: null
153, run: -1, walk: 362, stand: null
154, run: -1, walk: 362, stand: null
155, run: -1, walk: 362, stand: null
156, run: -1, walk: 362, stand: null
157, run: -1, walk: 362, stand: null
158, run: -1, walk: 841, stand: null
159, run: -1, walk: 16358, stand: [16367, 16368]
160, run: -1, walk: 16358, stand: [16367, 16368]
161, run: -1, walk: 16359, stand: [16367, 16368]
162, run: 15263, walk: 189, stand: [195, 16369]
163, run: -1, walk: 3963, stand: null
164, run: 15263, walk: 189, stand: [195, 16369]
165, run: -1, walk: 32767, stand: null
167, run: -1, walk: 32767, stand: null
168, run: 15263, walk: 189, stand: [195, 16369]
169, run: 15263, walk: 189, stand: [195, 16369]
170, run: -1, walk: 15756, stand: null
171, run: 15263, walk: 189, stand: [195, 16369]
172, run: 824, walk: 819, stand: null
173, run: 824, walk: 819, stand: null
174, run: 824, walk: 819, stand: null
175, run: 824, walk: 819, stand: null
176, run: 824, walk: 819, stand: null
177, run: 824, walk: 819, stand: null
178, run: 20973, walk: 20972, stand: null
179, run: 20973, walk: 20972, stand: null
180, run: 824, walk: 819, stand: null
181, run: -1, walk: 16006, stand: null
182, run: -1, walk: 7191, stand: null
183, run: -1, walk: 7191, stand: null
184, run: -1, walk: 7191, stand: null
185, run: -1, walk: 98, stand: null
186, run: 824, walk: 819, stand: null
187, run: 824, walk: 819, stand: null
188, run: 824, walk: 819, stand: null
189, run: 824, walk: 819, stand: null
190, run: 824, walk: 819, stand: null
191, run: -1, walk: 9724, stand: null
192, run: 824, walk: 819, stand: null
193, run: 824, walk: 819, stand: null
194, run: 824, walk: 819, stand: null
195, run: 824, walk: 819, stand: null
196, run: 824, walk: 819, stand: null
197, run: -1, walk: 98, stand: null
198, run: -1, walk: 1065, stand: null
199, run: 824, walk: 819, stand: null
200, run: -1, walk: 1065, stand: null
201, run: -1, walk: 21198, stand: null
202, run: 824, walk: 819, stand: null
203, run: 824, walk: 819, stand: null
204, run: 824, walk: 819, stand: null
205, run: 824, walk: 819, stand: null
206, run: -1, walk: 98, stand: null
207, run: 21337, walk: 21346, stand: null
208, run: 21337, walk: 21346, stand: null
209, run: 21337, walk: 21346, stand: null
210, run: 824, walk: 819, stand: null
211, run: -1, walk: 1065, stand: null
212, run: -1, walk: 1065, stand: null
214, run: 824, walk: 819, stand: null
215, run: 824, walk: 819, stand: null
216, run: 824, walk: 819, stand: null
217, run: 824, walk: 819, stand: null
218, run: 824, walk: 819, stand: null
219, run: 824, walk: 819, stand: null
220, run: -1, walk: 819, stand: null
221, run: -1, walk: 127, stand: null
222, run: 824, walk: 819, stand: null
223, run: 824, walk: 819, stand: null
224, run: -1, walk: 4931, stand: null
225, run: 824, walk: 819, stand: null
226, run: 824, walk: 819, stand: null
227, run: -1, walk: 32767, stand: null
228, run: 824, walk: 819, stand: null
229, run: 824, walk: 819, stand: null
230, run: 824, walk: 819, stand: null
231, run: 824, walk: 819, stand: null
232, run: -1, walk: 15891, stand: null
233, run: -1, walk: 9645, stand: null
234, run: -1, walk: 9645, stand: null
235, run: -1, walk: 9645, stand: null
236, run: -1, walk: 9645, stand: null
237, run: -1, walk: 6928, stand: null
238, run: -1, walk: 5539, stand: null
239, run: -1, walk: 1065, stand: null
240, run: -1, walk: 819, stand: null
241, run: -1, walk: 819, stand: null
242, run: -1, walk: 1065, stand: null
243, run: -1, walk: 1065, stand: null
244, run: -1, walk: 1065, stand: null
245, run: -1, walk: 1065, stand: null
246, run: -1, walk: 819, stand: null
247, run: -1, walk: 6486, stand: null
248, run: -1, walk: 819, stand: null
249, run: -1, walk: 819, stand: null
251, run: -1, walk: 1065, stand: null
252, run: 824, walk: 819, stand: null
253, run: 824, walk: 819, stand: null
254, run: 824, walk: 819, stand: null
255, run: 824, walk: 819, stand: null
256, run: 824, walk: 819, stand: null
257, run: 824, walk: 819, stand: null
258, run: -1, walk: 819, stand: [808, 11659]
259, run: 824, walk: 819, stand: null
260, run: 824, walk: 819, stand: null
261, run: 824, walk: 819, stand: null
262, run: 824, walk: 819, stand: null
263, run: 824, walk: 819, stand: null
264, run: -1, walk: 7160, stand: null
265, run: -1, walk: 7160, stand: null
266, run: -1, walk: 7160, stand: null
267, run: 824, walk: 819, stand: null
268, run: 824, walk: 819, stand: null
269, run: -1, walk: 6582, stand: null
270, run: -1, walk: 10625, stand: null
271, run: 24020, walk: 23632, stand: null
272, run: -1, walk: 6468, stand: null
273, run: -1, walk: 6468, stand: null
274, run: -1, walk: 1065, stand: null
275, run: 824, walk: 819, stand: null
276, run: -1, walk: 819, stand: null
277, run: 824, walk: 819, stand: null
278, run: -1, walk: 819, stand: null
279, run: 824, walk: 819, stand: null
280, run: 824, walk: 819, stand: null
281, run: 824, walk: 819, stand: null
282, run: 824, walk: 819, stand: null
283, run: 824, walk: 819, stand: null
284, run: -1, walk: 32767, stand: null
285, run: 824, walk: 819, stand: null
286, run: 824, walk: 819, stand: null
287, run: 824, walk: 819, stand: null
288, run: -1, walk: 32767, stand: [3824, 3817]
289, run: 824, walk: 819, stand: null
290, run: 824, walk: 819, stand: null
291, run: 824, walk: 819, stand: null
292, run: -1, walk: 5334, stand: null
293, run: -1, walk: 5334, stand: null
294, run: -1, walk: 5334, stand: null
295, run: -1, walk: 5334, stand: null
296, run: -1, walk: 7223, stand: null
297, run: -1, walk: 7224, stand: null
298, run: -1, walk: 7223, stand: null
299, run: -1, walk: 7216, stand: null
300, run: -1, walk: 16097, stand: null
301, run: -1, walk: 98, stand: null
302, run: 824, walk: 819, stand: null
303, run: 824, walk: 819, stand: null
304, run: 824, walk: 819, stand: null
305, run: -1, walk: 7160, stand: null
306, run: 15263, walk: 189, stand: [195, 16369]
307, run: 824, walk: 819, stand: null
308, run: -1, walk: 12920, stand: null
309, run: -1, walk: 9645, stand: null
310, run: -1, walk: 9645, stand: null
311, run: -1, walk: 9645, stand: null
312, run: -1, walk: 9645, stand: null
313, run: -1, walk: 9645, stand: null
314, run: -1, walk: 9645, stand: null
315, run: -1, walk: 9645, stand: null
316, run: -1, walk: 9645, stand: null
317, run: -1, walk: 9645, stand: null
318, run: -1, walk: 9645, stand: null
319, run: -1, walk: 9645, stand: null
320, run: -1, walk: 9645, stand: null
321, run: -1, walk: 9645, stand: null
322, run: -1, walk: 9645, stand: null
323, run: -1, walk: 9645, stand: null
324, run: -1, walk: 9645, stand: null
325, run: -1, walk: 9645, stand: null
326, run: -1, walk: 9645, stand: null
327, run: -1, walk: 9645, stand: null
328, run: -1, walk: 9645, stand: null
329, run: -1, walk: 9645, stand: null
330, run: -1, walk: 9645, stand: null
331, run: -1, walk: 98, stand: null
332, run: -1, walk: 98, stand: null
333, run: -1, walk: 9645, stand: null
334, run: -1, walk: 9645, stand: null
335, run: 824, walk: 819, stand: null
336, run: 824, walk: 819, stand: null
337, run: -1, walk: 1323, stand: null
338, run: -1, walk: 32767, stand: null
339, run: -1, walk: 1323, stand: null
340, run: -1, walk: 819, stand: null
341, run: -1, walk: 1323, stand: null
342, run: 824, walk: 819, stand: null
343, run: -1, walk: 32767, stand: null
344, run: 824, walk: 819, stand: null
