RareDropTable=true
20429, 1, 2, 0
1127, 1, 1, 1
1079, 1, 1, 1
4091, 1, 1, 1
4093, 1, 1, 1
4091, 1, 1, 1
4093, 1, 1, 1
3054, 1, 1, 1
1319, 1, 1, 3
1373, 1, 1, 3
1149, 1, 1, 4
4699, 50, 950, 1
565, 50, 100, 1
560, 50, 50, 1
892, 100, 100, 1
9244, 100, 100, 1
5292, 1, 1, 1
5311, 1, 1, 1
-1, 1, 1, 1
-1, 1, 1, 1
-1, 1, 1, 1
-1, 1, 1, 1
-1, 1, 1, 1
-1, 1, 1, 1
-1, 1, 1, 1
-1, 1, 1, 1
-1, 1, 1, 1
-1, 1, 1, 1
2436, 1, 1, 2
2440, 1, 1, 2
2442, 1, 1, 2
2434, 1, 1, 2
1623, 1, 8, 2
385, 2, 10, 1
-1, 1, 1, 1
2364, 1, 15, 2
2722, 1, 1, 3
19043, 1, 1, 4
