RareDropTable=true
526, 1, 1, 0
1279, 1, 1, 1
1153, 1, 1, 1
1424, 1, 1, 1
1165, 1, 1, 3
888, 3, 3, 2
1313, 1, 1, 3
1283, 1, 1, 3
558, 2, 9, 2
557, 10, 10, 2
559, 9, 9, 2
564, 7, 7, 2
562, 4, 6, 2
560, 2, 2, 2
563, 3, 4, 2
561, 6, 6, 3
199, 1, 1, 1
201, 1, 1, 1
203, 1, 1, 1
205, 1, 1, 1
207, 1, 1, 2
209, 1, 1, 2
211, 1, 1, 2
213, 1, 1, 2
215, 1, 1, 2
2485, 1, 1, 2
217, 1, 1, 2
5318, 4, 4, 2
5319, 4, 4, 2
5324, 4, 4, 3
5322, 3, 3, 3
5320, 3, 3, 3
5323, 2, 3, 3
5321, 2, 2, 3
995, 1, 80, 1
2353, 1, 1, 1
1933, 1, 1, 1
2309, 1, 1, 2
438, 1, 1, 2
1621, 1, 1, 3
1619, 1, 1, 3
24154, 1, 1, 3
18778, 1, 1, 4
