RareDropTable=true
556, 11, 19, 1
555, 11, 19, 1
557, 11, 19, 1
554, 11, 19, 1
555, 2, 2, 2
554, 7, 7, 2
559, 6, 6, 2
564, 2, 2, 2
562, 3, 3, 2
561, 4, 4, 2
563, 2, 2, 2
565, 1, 1, 4
1837, 1, 1, 2
1835, 1, 1, 2
1833, 1, 1, 2
1299, 1, 1, 2
1329, 1, 1, 2
1143, 1, 1, 2
1131, 1, 1, 2
1279, 1, 1, 2
826, 5, 5, 2
1203, 1, 1, 2
1207, 1, 1, 2
1181, 1, 1, 2
1281, 1, 1, 3
1295, 1, 1, 3
1213, 1, 1, 3
199, 1, 1, 1
201, 1, 1, 1
203, 1, 1, 1
205, 1, 1, 2
207, 1, 1, 2
209, 1, 1, 2
211, 1, 1, 3
213, 1, 1, 3
215, 1, 1, 3
2485, 1, 1, 3
217, 1, 1, 3
995, 1, 1000, 1
1823, 1, 1, 1
1783, 1, 1, 2
24154, 1, 1, 3
18778, 1, 1, 4
