RareDropTable=true
4694, 25, 35, 1
561, 26, 35, 2
565, 31, 50, 1
4698, 15, 25, 2
560, 32, 49, 2
556, 39, 41, 2
1093, 1, 1, 2
1303, 1, 1, 2
1373, 1, 1, 2
1434, 1, 1, 3
1185, 1, 1, 4
1319, 1, 1, 4
21793, 1, 1, 4
21790, 1, 1, 4
200, 2, 4, 4
202, 2, 4, 4
204, 2, 4, 4
206, 2, 4, 4
210, 2, 4, 4
215, 1, 1, 1
208, 2, 4, 1
2486, 2, 2, 1
214, 2, 4, 4
218, 4, 4, 4
5299, 1, 1, 2
5321, 1, 1, 4
5314, 1, 1, 4
21776, 1, 1, 2
1445, 3, 5, 1
7937, 62, 100, 1
995, 348, 13999, 1
385, 1, 6, 2
384, 4, 10, 2
1752, 5, 10, 2
53, 100, 500, 2
452, 2, 3, 2
141, 1, 1, 2
24154, 1, 1, 3
2722, 1, 1, 3
18778, 1, 1, 3
